hs8,hs6,naics6,naics2,tariff,desc,Country,unmapped,bad_naics6,naics2_mismatch,public_admin,hs97,hs000
29314800,293148,NA,NA,25.0%,"Other organo-inorganic compounds: --3,9-Dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane 3,9-dioxide",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29315100,293151,NA,NA,25.0%,Other organo-inorganic compounds: --Methylphosphonic dichloride,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29315200,293152,NA,NA,25.0%,Other organo-inorganic compounds: --Propylphosphonic dichloride,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29315300,293153,NA,NA,25.0%,Other organo-inorganic compounds: --O-(3-chloropropyl) O-[4-nitro-3-(trifluoromethyl)phenyl] methylphosphonothionate,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29315400,293154,NA,NA,25.0%,Other organo-inorganic compounds: --Trichlorfon (ISO),China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29315900,293159,NA,NA,25.0%,Other organo-inorganic compounds: --Other,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29329600,293296,NA,NA,20.0%,Heterocyclic compounds with oxygen hetero-atom (s) only: --Carbofuran (ISO),China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29333400,293334,NA,NA,7.5%,Heterocyclic compounds with nitrogen hetero-atom (s) only: --Other fentanyls and their derivatives,China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29333600,293336,NA,NA,7.5%,Heterocyclic compounds with nitrogen hetero-atom (s) only: --4-Anilino-N-phenethylpiperidine (ANPP),China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29333700,293337,NA,NA,7.5%,Heterocyclic compounds with nitrogen hetero-atom (s) only: --N-Phenethyl-4-piperidone (NPP),China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29349200,293492,NA,NA,27.5%,"Nucleic acids and their salts, whether or not chemically defined; Other heteroeyclic compounds: --Other fentanyls and their derivatives",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29394500,293945,NA,NA,5.0%,"Alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives: --Levometamfetamine, metamfetamine (INN), metamfetamine racemate and their salts",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29397290,293972,NA,NA,5.0%,"Alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives: ---Other",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
